1,4,25770,25771,"Setout Walls","2012-02-14","2012-02-16","2012-05-24 16:21:17","4","2012-05-23 10:02:08","4","Webserver",31790,"0","Complete","100%"
2,4,25770,25771,"Windows","2012-02-15","2012-02-21","2012-05-24 16:21:21","4","2012-05-23 10:02:08","4","Webserver",31791,"0","Complete","100%"
3,4,25770,25771,"Framing incl. doorframes / noggins","2012-02-15","2012-02-24","2012-05-24 16:21:24","4","2012-05-23 10:02:08","4","Webserver",31792,"0","Complete","100%"
4,4,25770,25771,"Showerbase - RI (Angle)","2012-02-22","2012-02-24","2012-05-24 16:21:29","4","2012-05-23 10:02:08","4","Webserver",31793,"0","Complete","100%"
5,4,25770,25771,"Pivot Door - SetOut / Check","2012-02-22","2012-02-24","2012-05-24 16:21:32","4","2012-05-23 10:02:08","4","Webserver",31794,"0","Complete","100%"
6,4,25770,25771,"Fire - RI","2012-02-18","2012-02-24","2012-05-24 16:21:36","4","2012-05-23 10:02:08","4","Webserver",31795,"0","Complete","100%"
7,4,25770,25771,"Mechanical - RI","2012-02-21","2012-02-27","2012-05-24 16:21:41","4","2012-05-23 10:02:08","4","Webserver",31796,"0","Complete","100%"
8,4,25770,25771,"Hydraulic - RI Inc. Lagging","2012-02-21","2012-02-27","2012-05-24 16:21:48","4","2012-05-23 10:02:08","4","Webserver",31797,"0","Complete","100%"
9,4,25770,25771,"Electrical - RI","2012-02-22","2012-03-02","2012-05-24 16:21:52","4","2012-05-23 10:02:08","4","Webserver",31798,"0","Complete","100%"
10,4,25770,25771,"Plasterboard Walls  Insulation  Ceiling Frames & Bulkheads  Stop & Sand","2012-03-17","2012-03-27","2012-05-24 16:21:55","4","2012-05-23 10:02:08","4","Webserver",31799,"0","Complete","100%"
11,4,25770,25771,"Fire Droppers","2012-04-21","2012-04-24","2012-05-24 16:21:59","4","2012-05-23 10:02:08","4","Webserver",31800,"0","Complete","100%"
12,4,25770,25771,"Sheet & Insulate Ceiling","2012-04-21","2012-04-28","2012-05-24 16:22:03","4","2012-05-23 10:02:08","4","Webserver",31801,"0","Complete","100%"
13,4,25770,25771,"Stop Ceiling (Base Coat)","2012-04-23","2012-04-30","2012-05-24 16:22:07","4","2012-05-23 10:02:08","4","Webserver",31802,"0","Complete","100%"
14,4,25770,25771,"Stop Ceiling (Top Coat)","2012-04-24","2012-05-01","2012-05-24 16:22:10","4","2012-05-23 10:02:08","4","Webserver",31803,"0","Complete","100%"
